sourceSystemName,lastEventType,flightDate,flightNumber,Origin,Destination,FleetType,AircraftRegistration
VISOPS,IN,2025-02-17,145,GEG,SAN,737-M9E,N710AL
VISOPS,IN,2025-02-17,1057,BUR,PDX,737-900E,N492AS
VISOPS,IN,2025-02-17,963,GEG,SEA,737-800E,N559AS
VISOPS,IN,2025-02-17,1123,SFO,SEA,737-800E,N587AS
VISOPS,IN,2025-02-17,1049,SFO,LAX,737-800,N526AS
VISOPS,DELAY,2025-02-17,380,LAS,SEA,737-900R,N268AK
VISOPS,IN,2025-02-17,682,DEN,SEA,737-900R,N265AK
VISOPS,IN,2025-02-17,305,MIA,SEA,737-900R,N273AK
VISOPS,IN,2025-02-17,630,SEA,SLC,737-M9E,N935AK
VISOPS,IN,2025-02-17,809,SEA,MKE,737-900R,N236AK
VISOPS,IN,2025-02-17,1060,SEA,SNA,737-800,N553AS
VISOPS,IN,2025-02-17,7015,BRW,ANC,737-800F,N584AS
VISOPS,ETA,2025-02-17,516,SEA,FLL,737-M9E,N949AK
VISOPS,OFF,2025-02-17,494,SAT,SEA,737-M9E,N917AK
VISOPS,ON,2025-02-17,817,SEA,OGG,737-M9E,N705AL
VISOPS,IN,2025-02-17,573,DFW,SEA,737-M9E,N928AK
VISOPS,IN,2025-02-17,1171,SJC,PVR,737-M9E,N919AK
VISOPS,IN,2025-02-17,48,ANC,SEA,737-900E,N494AS
VISOPS,IN,2025-02-17,616,PDX,PSP,737-900E,N413AS
VISOPS,IN,2025-02-17,1124,LAX,PDX,737-900E,N468AS
VISOPS,IN,2025-02-17,1350,PDX,SFO,737-900R,N294AK
VISOPS,IN,2025-02-17,9431,GSO,GSO,737-900E,N479AS
VISOPS,IN,2025-02-17,121,PDX,BUR,737-800E,N529AS
VISOPS,IN,2025-02-17,1166,SEA,SFO,737-900R,N298AK
VISOPS,IN,2025-02-17,462,ORD,SEA,737-M9E,N942AK
VISOPS,IN,2025-02-17,1117,SNA,SEA,737-800E,N530AS
VISOPS,IN,2025-02-17,706,PHX,PDX,737-900R,N267AK
VISOPS,IN,2025-02-17,698,SEA,PHX,737-700W,N618AS
VISOPS,IN,2025-02-17,807,LAX,HNL,737-M9E,N984AK
VISOPS,BAGCAROUSEL,2025-02-17,1179,LAX,SEA,737-800E,N518AS
VISOPS,IN,2025-02-17,1390,SEA,SJD,737-M9E,N918AK
VISOPS,IN,2025-02-17,196,ADQ,ANC,737-700W,N607AS
VISOPS,IN,2025-02-17,902,SEA,PVR,737-800E,N569AS
VISOPS,IN,2025-02-17,1306,SEA,LAX,737-700W,N615AS
VISOPS,IN,2025-02-17,62,KTN,SEA,737-800,N552AS
VISOPS,IN,2025-02-17,34,SEA,JFK,737-900R,N260AK
OPS360,IRROP,2025-02-17,290,EWR,PDX,737-900E,N486AS
VISOPS,IN,2025-02-17,474,ATL,SAN,737-900R,N274AK
VISOPS,IN,2025-02-17,129,SMF,SEA,737-900W,N309AS
VISOPS,BAGCAROUSEL,2025-02-17,1079,SJC,SEA,737-900R,N278AK
OPS360,IRROP,2025-02-17,60,KTN,SEA,737-700W,N622AS
VISOPS,IN,2025-02-17,284,LAX,EWR,737-900R,N272AK
VISOPS,ON,2025-02-17,813,SEA,KOA,737-800E,N536AS
VISOPS,IN,2025-02-17,4,SEA,DCA,737-800E,N538AS
VISOPS,IN,2025-02-17,142,JNU,SEA,737-M8E,N806AK
VISOPS,IN,2025-02-17,8,SFO,DCA,737-800E,N535AS
VISOPS,IN,2025-02-17,405,OKC,SEA,737-M9E,N972AK
VISOPS,IN,2025-02-17,501,MCI,SEA,737-900E,N409AS
VISOPS,IN,2025-02-17,1290,SEA,BUR,737-800E,N581AS
VISOPS,IN,2025-02-17,304,DTW,SEA,737-800,N524AS
VISOPS,IN,2025-02-17,1254,SEA,ONT,737-900W,N319AS
VISOPS,OFF,2025-02-17,503,STL,SEA,737-M9E,N960AK
VISOPS,IN,2025-02-17,59,SEA,ANC,737-M9E,N958AK
VISOPS,IN,2025-02-17,612,SEA,LAS,737-800E,N563AS
VISOPS,OFF,2025-02-17,322,ELP,IAD,737-900E,N403AS
VISOPS,IN,2025-02-17,555,MSP,SEA,737-M9E,N931AK
VISOPS,ETA,2025-02-17,27,JFK,SEA,737-800E,N570AS
VISOPS,IN,2025-02-17,318,SEA,AUS,737-900R,N297AK
VISOPS,IN,2025-02-17,907,RDM,SEA,737-800E,N506AS
VISOPS,IN,2025-02-17,376,SEA,ATL,737-900E,N408AS
VISOPS,IN,2025-02-17,1170,SJC,SJD,737-800E,N585AS
VISOPS,IN,2025-02-17,132,EUG,SEA,737-800E,N532AS
VISOPS,IN,2025-02-17,929,BOI,SEA,737-800E,N537AS
VISOPS,IN,2025-02-17,1023,PSC,SEA,737-800,N548AS
VISOPS,IRROP,2025-02-17,7009,BET,ANC,737-800F,N583AS
VISOPS,IN,2025-02-17,572,RDU,SEA,737-M9E,N937AK
VISOPS,IN,2025-02-17,306,SEA,BOS,737-900E,N453AS
VISOPS,IN,2025-02-17,1438,SAN,SJD,737-800E,N577AS
VISOPS,IN,2025-02-17,908,SEA,DFW,737-800E,N533AS
VISOPS,IN,2025-02-17,408,SEA,ORD,737-800E,N516AS
VISOPS,RELEASE,2025-02-17,326,TPA,SEA,737-900R,N280AK
VISOPS,IN,2025-02-17,138,SFO,PDX,737-800E,N594AS
VISOPS,ETA,2025-02-17,877,SFO,HNL,737-800E,N565AS
VISOPS,IN,2025-02-17,56,ANC,SEA,737-900E,N440AS
VISOPS,IN,2025-02-17,1266,PDX,MSY,737-900R,N247AK
VISOPS,ETA,2025-02-17,1404,SEA,BZE,737-900E,N433AS
VISOPS,IN,2025-02-17,312,SEA,OMA,737-M9E,N990AK
VISOPS,IN,2025-02-17,1289,SFO,SEA,737-M9E,N938AK
VISOPS,IN,2025-02-17,766,SMF,MCO,737-M9E,N920AK
VISOPS,IN,2025-02-17,757,PDX,LAS,737-900R,N288AK
VISOPS,ON,2025-02-17,1335,BZE,LAX,737-800E,N508AS
VISOPS,ETA,2025-02-17,420,SEA,MCO,737-800,N551AS
VISOPS,IN,2025-02-17,20,SFO,JFK,737-900E,N419AS
VISOPS,IN,2025-02-17,421,LAS,SFO,737-800E,N592AS
VISOPS,IN,2025-02-17,160,ANC,FAI,737-M9E,N708AL
VISOPS,IN,2025-02-17,1340,LAX,CUN,737-M8E,N803AK
VISOPS,DELAY,2025-02-17,302,SAN,EWR,737-900E,N472AS
VISOPS,ETA,2025-02-17,442,SEA,PHL,737-M9E,N713AL
VISOPS,IN,2025-02-17,216,CLE,SEA,737-M9E,N725AL
VISOPS,IN,2025-02-17,402,SEA,CHS,737-M9E,N709AL
VISOPS,IN,2025-02-17,9661,ANC,SCC,737-800E,N558AS
VISOPS,DELAY,2025-02-17,1412,LAX,LIR,737-800E,N517AS
VISOPS,DELAY,2025-02-17,735,LAS,SEA,737-800E,N512AS
VISOPS,IN,2025-02-17,1299,SNA,PDX,737-800E,N534AS
VISOPS,IN,2025-02-17,1259,SAN,SEA,737-M9E,N934AK
OPS360,IRROP,2025-02-17,1239,PDX,PHX,737-900R,N275AK
VISOPS,ETA,2025-02-17,889,PDX,HNL,737-900E,N471AS
VISOPS,IN,2025-02-17,870,PHX,SEA,737-900W,N318AS
VISOPS,ETA,2025-02-17,10,PDX,DCA,737-800E,N596AS
VISOPS,DELAY,2025-02-17,406,SEA,IAD,737-900R,N251AK
VISOPS,IN,2025-02-17,83,SEA,ANC,737-700W,N613AS
VISOPS,IN,2025-02-17,174,SEA,FAI,737-M9E,N929AK
VISOPS,ETA,2025-02-17,829,SJC,OGG,737-M9E,N703AL
VISOPS,IN,2025-02-17,1080,SEA,SJC,737-800E,N560AS
VISOPS,IN,2025-02-17,450,SEA,CMH,737-900E,N435AS
VISOPS,IN,2025-02-17,1108,SEA,SAN,737-800E,N559AS
VISOPS,ETA,2025-02-17,441,PDX,MIA,737-M9E,N975AK
VISOPS,BAGCAROUSEL,2025-02-17,888,HNL,SEA,737-M9E,N933AK
VISOPS,PAXGATEARRIVAL,2025-02-17,1380,PDX,PVR,737-800E,N513AS
VISOPS,DELAY,2025-02-17,1317,LAX,SEA,737-800,N526AS
VISOPS,OFF,2025-02-17,887,SEA,HNL,737-900E,N493AS
VISOPS,ETA,2025-02-17,15,JFK,SFO,737-900R,N266AK
VISOPS,IN,2025-02-17,136,ANC,OTZ,737-700W,N607AS
VISOPS,RELEASE,2025-02-17,379,BWI,SEA,737-900E,N483AS
VISOPS,IN,2025-02-17,189,SEA,PHX,737-900E,N467AS
VISOPS,IN,2025-02-17,1048,SEA,LAX,737-900E,N462AS
VISOPS,IN,2025-02-17,1467,LAS,PDX,737-M9E,N954AK
VISOPS,DELAY,2025-02-17,875,SEA,LIH,737-800E,N566AS
VISOPS,IN,2025-02-17,7011,OME,ANC,737-700F,N626AS
VISOPS,DELAY,2025-02-17,398,SEA,EWR,737-900E,N457AS
VISOPS,IN,2025-02-17,508,SEA,CVG,737-900E,N448AS
VISOPS,IN,2025-02-17,1149,SNA,SEA,737-800,N546AS
VISOPS,IN,2025-02-17,336,PDX,DEN,737-800,N527AS
VISOPS,DELAY,2025-02-17,500,SEA,IND,737-M9E,N946AK
VISOPS,ETA,2025-02-17,522,SEA,BNA,737-M9E,N932AK
VISOPS,ETA,2025-02-17,916,SEA,MCO,737-M9E,N723AL
VISOPS,IN,2025-02-17,647,SEA,ANC,737-800E,N564AS
VISOPS,ON,2025-02-17,1256,SEA,PSP,737-M9E,N915AK
VISOPS,IN,2025-02-17,1296,PDX,SAN,737-800E,N557AS
VISOPS,IN,2025-02-17,731,PHX,PAE,737-900,N302AS
VISOPS,IN,2025-02-17,229,LAS,SEA,737-M8E,N801AK
VISOPS,IN,2025-02-17,1418,LAX,GDL,737-900E,N487AS
VISOPS,ETA,2025-02-17,1364,LAX,CUN,737-900E,N442AS
VISOPS,DELAY,2025-02-17,390,SAN,BOS,737-900R,N263AK
VISOPS,ETA,2025-02-17,895,SAN,HNL,737-M9E,N936AK
VISOPS,ETA,2025-02-17,502,SEA,AUS,737-900W,N307AS
VISOPS,IN,2025-02-17,738,SEA,LAS,737-800E,N587AS
VISOPS,IN,2025-02-17,1374,LAX,LTO,737-M8E,N805AK
VISOPS,ETA,2025-02-17,598,SFO,ORD,737-900R,N294AK
VISOPS,IN,2025-02-17,1275,PSP,PDX,737-900R,N287AK
VISOPS,IN,2025-02-17,511,PHX,PDX,737-M9E,N707AL
VISOPS,ETA,2025-02-17,869,SJC,KOA,737-M9E,N969AK
VISOPS,PAXGATEARRIVAL,2025-02-17,412,PIT,SEA,737-M9E,N962AK
VISOPS,IN,2025-02-17,1359,MZT,LAX,737-900R,N238AK
VISOPS,ON,2025-02-17,108,ANC,SEA,737-800,N549AS
VISOPS,DELAY,2025-02-17,414,SEA,DFW,737-M9E,N961AK
VISOPS,IN,2025-02-17,159,ANC,FAI,737-800,N528AS
VISOPS,ETA,2025-02-17,812,KOA,SEA,737-900E,N491AS
VISOPS,ETA,2025-02-17,886,OGG,SEA,737-M9E,N977AK
VISOPS,IN,2025-02-17,631,SLC,SEA,737-M9E,N935AK
VISOPS,GATEIN,2025-02-17,26,SEA,JFK,737-800E,N506AS
VISOPS,ETA,2025-02-17,568,SEA,MSY,737-M9E,N719AL
VISOPS,OFF,2025-02-17,1334,LAX,BZE,737-M9E,N956AK
VISOPS,IN,2025-02-17,122,BUR,PDX,737-800E,N529AS
VISOPS,IN,2025-02-17,835,SFO,PDX,737-900R,N298AK
VISOPS,IN,2025-02-17,96,SJD,LAX,737-900E,N428AS
VISOPS,ETA,2025-02-17,227,FAI,SEA,737-M9E,N708AL
VISOPS,IN,2025-02-17,43,ANC,BET,737-700W,N644AS
VISOPS,IN,2025-02-17,970,PDX,SEA,737-900,N303AS
VISOPS,IN,2025-02-17,1381,PVR,LAX,737-800E,N593AS
VISOPS,ON,2025-02-17,1379,SJD,SFO,737-900E,N474AS
VISOPS,IN,2025-02-17,904,SEA,BZN,737-M9E,N973AK
VISOPS,OFF,2025-02-17,320,SAN,MCO,737-M9E,N710AL
VISOPS,IN,2025-02-17,1190,SEA,SNA,737-800E,N532AS
VISOPS,IN,2025-02-17,1216,SEA,SMF,737-900W,N309AS
VISOPS,ETA,2025-02-17,1257,PSP,SEA,737-900E,N413AS
VISOPS,OFF,2025-02-17,626,SEA,HNL,737-900E,N423AS
VISOPS,IN,2025-02-17,697,MSO,SEA,737-900R,N278AK
VISOPS,IN,2025-02-17,648,SEA,TUS,737-M9E,N722AL
VISOPS,IN,2025-02-17,1018,SEA,BOI,737-800E,N530AS
VISOPS,DELAY,2025-02-17,49,SEA,ANC,737-900E,N402AS
VISOPS,ETA,2025-02-17,95,SEA,JNU,737-M9E,N947AK
VISOPS,ETA,2025-02-17,505,AUS,SEA,737-900E,N464AS
VISOPS,IN,2025-02-17,1284,SEA,SFO,737-M8E,N806AK
VISOPS,ETA,2025-02-17,438,SEA,IAH,737-900E,N469AS
VISOPS,PAXGATEARRIVAL,2025-02-17,9411,GSO,SEA,737-900E,N479AS
VISOPS,DELAY,2025-02-17,1422,PDX,SJD,737-900E,N492AS
VISOPS,IN,2025-02-17,1007,SEA,PHX,737-900E,N407AS
VISOPS,ETA,2025-02-17,9231,HNL,PDX,737-900E,N486AS
VISOPS,IN,2025-02-17,1430,LAX,SJD,737-M9E,N943AK
VISOPS,IN,2025-02-17,1225,SFO,SEA,737-900R,N253AK
VISOPS,IN,2025-02-17,1143,PDX,LAX,737-900E,N468AS
VISOPS,IN,2025-02-17,1039,SEA,PDX,737-900R,N292AK
VISOPS,BAGCAROUSEL,2025-02-17,1173,SNA,SEA,737-800,N553AS
VISOPS,IN,2025-02-17,1010,SEA,GEG,737-900R,N282AK
VISOPS,IN,2025-02-17,692,SEA,PSP,737-900R,N214AK
VISOPS,IN,2025-02-17,445,SEA,RNO,737-800,N525AS
VISOPS,DELAY,2025-02-17,1382,SEA,PVR,737-M9E,N926AK
VISOPS,BAGCAROUSEL,2025-02-17,909,DFW,SEA,737-M9E,N966AK
VISOPS,DELAY,2025-02-17,352,SEA,ORD,737-900R,N224AK
VISOPS,ETA,2025-02-17,1137,SAN,SEA,737-M9E,N983AK
VISOPS,DELAY,2025-02-17,128,PDX,SFO,737-800E,N594AS
VISOPS,DELAY,2025-02-17,969,LAX,NAS,737-900E,N481AS
VISOPS,ETA,2025-02-17,603,PHX,SEA,737-700W,N618AS
VISOPS,ETA,2025-02-17,996,PVR,PDX,737-M9E,N720AL
VISOPS,ETA,2025-02-17,1268,PDX,BNA,737-900R,N267AK
VISOPS,OUT,2025-02-17,642,SNA,SFO,737-800E,N592AS
VISOPS,ETA,2025-02-17,1061,BUR,SEA,737-800E,N581AS
VISOPS,ETA,2025-02-17,1255,ONT,SEA,737-900W,N319AS
VISOPS,PAXGATEARRIVAL,2025-02-17,1219,LAX,SEA,737-700W,N615AS
VISOPS,IN,2025-02-17,9660,SCC,ANC,737-800E,N558AS
VISOPS,ETA,2025-02-17,106,FAI,SEA,737-M9E,N968AK
VISOPS,IN,2025-02-17,975,SEA,SJC,737-800E,N518AS
VISOPS,ETA,2025-02-17,1144,SEA,LAX,737-M8E,N804AK
VISOPS,ETA,2025-02-17,335,ORD,SEA,737-900R,N264AK
VISOPS,DELAY,2025-02-17,714,SEA,SJD,737-M9E,N982AK
VISOPS,ETA,2025-02-17,741,LAS,SEA,737-900R,N288AK
VISOPS,ETA,2025-02-17,678,SEA,LAS,737-900R,N268AK
VISOPS,ETA,2025-02-17,756,LAS,PDX,737-800E,N563AS
VISOPS,PAXGATEARRIVAL,2025-02-17,64,KTN,SEA,737-700W,N619AS
OPS360,IRROP,2025-02-17,1192,LAX,PDX,737-800E,N519AS
VISOPS,ETA,2025-02-17,281,EWR,SEA,737-M9E,N952AK
VISOPS,ETA,2025-02-17,1395,SJD,SAN,737-800E,N577AS
VISOPS,DELAY,2025-02-17,825,SEA,OGG,737-M9E,N938AK
VISOPS,DELAY,2025-02-17,540,PDX,AUS,737-900R,N292AK
VISOPS,OFF,2025-02-17,222,SEA,ANC,737-M9E,N724AL
VISOPS,DELAY,2025-02-17,602,SEA,DEN,737-900E,N440AS
VISOPS,IN,2025-02-17,137,OTZ,ANC,737-700W,N607AS
VISOPS,ETA,2025-02-17,843,SEA,KOA,737-900E,N494AS
VISOPS,DELAY,2025-02-17,588,SEA,DAL,737-M9E,N928AK
VISOPS,PAXGATEARRIVAL,2025-02-17,323,MKE,SEA,737-900R,N236AK
VISOPS,OFF,2025-02-17,1133,PVR,SJC,737-M9E,N919AK
VISOPS,OUT,2025-02-17,1134,SJD,SJC,737-800E,N585AS
VISOPS,ETA,2025-02-17,1120,SEA,BUR,737-800,N548AS
VISOPS,ETA,2025-02-17,285,EWR,LAX,737-M9E,N716AL
VISOPS,ETA,2025-02-17,41,JFK,SFO,737-900R,N290AK
VISOPS,ETA,2025-02-17,1227,SJC,SEA,737-800E,N560AS
VISOPS,BAGCAROUSEL,2025-02-17,31,JFK,SEA,737-M9E,N941AK
VISOPS,OFF,2025-02-17,140,FAI,SEA,737-800,N528AS
OPS360,IRROP,2025-02-17,1238,PHX,PDX,737-900R,N275AK
VISOPS,OFF,2025-02-17,397,MCO,SAN,737-M9E,N971AK
VISOPS,ETA,2025-02-17,361,OMA,SEA,737-M9E,N990AK
VISOPS,ETA,2025-02-17,6,LAX,DCA,737-800E,N586AS
VISOPS,ETA,2025-02-17,700,SEA,PHX,737-900,N303AS
VISOPS,ETD,2025-02-17,973,YYZ,SEA,737-900E,N431AS
VISOPS,DELAY,2025-02-17,1228,SEA,SNA,737-800E,N512AS
VISOPS,RELEASE,2025-02-17,389,BOS,SAN,737-M9E,N978AK
VISOPS,ETA,2025-02-17,25,JFK,SAN,737-M9E,N948AK
VISOPS,ETA,2025-02-17,1348,LAX,PVR,737-M9E,N953AK
VISOPS,ETA,2025-02-17,175,SEA,ANC,737-800E,N562AS
VISOPS,ETA,2025-02-17,119,ANC,SEA,737-M9E,N958AK
VISOPS,ETA,2025-02-17,44,BET,ANC,737-700W,N644AS
VISOPS,ON,2025-02-17,1008,PDX,SEA,737-900E,N434AS
VISOPS,ETA,2025-02-17,1304,SEA,SFO,737-800E,N537AS
VISOPS,OUT,2025-02-17,419,MCO,SEA,737-M9E,N955AK
VISOPS,ETA,2025-02-17,1084,PDX,SNA,737-800E,N534AS
VISOPS,OUT,2025-02-17,1011,GEG,SEA,737-900R,N282AK
VISOPS,OFF,2025-02-17,535,AUS,SFO,737-900R,N297AK
VISOPS,BOARDEND,2025-02-17,582,PSP,SEA,737-900R,N270AK
VISOPS,ETA,2025-02-17,1297,SAN,PDX,737-800E,N559AS
VISOPS,ETA,2025-02-17,722,SJD,SEA,737-M9E,N918AK
VISOPS,OFF,2025-02-17,1300,SEA,LAX,737-900R,N296AK
VISOPS,OFF,2025-02-17,1019,BOI,SEA,737-800E,N530AS
VISOPS,OFF,2025-02-17,297,EWR,SAN,737-M9E,N979AK
VISOPS,ETD,2025-02-17,883,SAN,FLL,737-M9E,N903AK
VISOPS,OUT,2025-02-17,1454,SEA,SAN,737-900E,N495AS
VISOPS,OUT,2025-02-17,350,DEN,PDX,737-800,N527AS
VISOPS,OUT,2025-02-17,1006,PHX,SEA,737-900E,N467AS
VISOPS,ETA,2025-02-17,1375,LTO,LAX,737-M8E,N805AK
VISOPS,LOADFINAL,2025-02-17,905,BZN,SEA,737-M9E,N973AK
VISOPS,DELAY,2025-02-17,303,DFW,PDX,737-800E,N533AS
